codigo,nombre,carrera,semestre,tipo,seccion
IND011,Control Estadístico de Calidad,Ingeniería Industrial,6,obligatorio,A
IND012,Investigación de Operaciones 1,Ingeniería Industrial,6,obligatorio,A
IND013,Diseño Industrial,Ingeniería Industrial,7,obligatorio,A
IND014,Ingeniería Económica,Ingeniería Industrial,7,obligatorio,A
IND015,Ingeniería de Costos,Ingeniería Industrial,8,obligatorio,A
IND016,Ingeniería de Plantas,Ingeniería Industrial,8,obligatorio,A
IND017,Gestión de Proyectos,Ingeniería Industrial,9,obligatorio,A
IND018,Prácticas Finales,Ingeniería Industrial,10,obligatorio,A
IND019,Seminario de Investigación,Ingeniería Industrial,10,obligatorio,A
IND020,Preparación y Evaluación de Proyectos,Ingeniería Industrial,10,obligatorio,A
IND021,Gestión Ambiental,Ingeniería Industrial,10,optativo,A
IND022,Diseño de Máquinas,Ingeniería Industrial,10,obligatorio,A
IND023,Ética Profesional,Ingeniería Industrial,9,optativo,A
IND024,Innovación y Emprendimiento,Ingeniería Industrial,9,optativo,A
CUR300,Simulación Estructural,Ingeniería Civil,1,optativo,A
CUR301,Gestión de Proyectos,Ingeniería Civil,1,obligatorio,A
CUR302,Análisis Hidráulico,Ingeniería Civil,2,optativo,A
CUR303,Diseño de Presas,Ingeniería Civil,2,optativo,A
CUR304,Túneles y Subterráneos,Ingeniería Civil,2,obligatorio,A
CUR305,Diseño Geotécnico,Ingeniería Civil,3,optativo,A
CUR306,Gestión de Proyectos,Ingeniería Civil,3,obligatorio,A
CUR307,Diseño de Presas,Ingeniería Civil,3,optativo,A
CUR308,Túneles y Subterráneos,Ingeniería Civil,4,optativo,A
CUR309,Simulación Estructural,Ingeniería Civil,4,obligatorio,A
CUR310,Estructuras Avanzadas,Ingeniería Civil,4,optativo,A
CUR311,Gestión de Proyectos,Ingeniería Civil,5,obligatorio,A
CUR312,Simulación Estructural,Ingeniería Civil,5,optativo,A
CUR313,Gestión de Proyectos,Ingeniería Civil,6,optativo,A
CUR314,Ingeniería Sísmica,Ingeniería Civil,6,obligatorio,A
CUR315,Análisis Hidráulico,Ingeniería Civil,6,optativo,A
CUR316,Gestión de Proyectos,Ingeniería Civil,7,optativo,A
CUR317,Diseño Geotécnico,Ingeniería Civil,7,obligatorio,A
CUR318,Diseño Geotécnico,Ingeniería Civil,8,optativo,A
CUR319,Transporte Urbano,Ingeniería Civil,8,obligatorio,A
CUR320,Puentes y Carreteras,Ingeniería Civil,8,optativo,A
CUR321,Diseño de Presas,Ingeniería Civil,9,obligatorio,A
CUR322,Diseño Geotécnico,Ingeniería Civil,9,optativo,A
CUR323,Gestión de Proyectos,Ingeniería Civil,9,obligatorio,A
CUR324,Análisis de Riesgo,Ingeniería Industrial,1,obligatorio,A
CUR325,Industria 4.0,Ingeniería Industrial,2,optativo,A
CUR326,Logística Internacional,Ingeniería Industrial,2,optativo,A
CUR327,Productividad y Tiempo,Ingeniería Industrial,2,obligatorio,A
CUR328,Productividad y Tiempo,Ingeniería Industrial,3,optativo,A
CUR329,Calidad Total,Ingeniería Industrial,3,optativo,A
CUR330,Industria 4.0,Ingeniería Industrial,3,obligatorio,A
CUR331,Sistemas ERP,Ingeniería Industrial,4,optativo,A
CUR332,Automatización Industrial,Ingeniería Industrial,4,obligatorio,A
CUR333,Gestión de Mantenimiento,Ingeniería Industrial,4,optativo,A
CUR334,Logística Internacional,Ingeniería Industrial,4,obligatorio,A
CUR335,Ingeniería de Costos,Ingeniería Industrial,5,optativo,A
CUR336,Logística Internacional,Ingeniería Industrial,5,obligatorio,A
CUR337,Lean Manufacturing,Ingeniería Industrial,5,optativo,A
CUR338,Automatización Industrial,Ingeniería Industrial,5,obligatorio,A
CUR339,Calidad Total,Ingeniería Industrial,6,optativo,A
CUR340,Automatización Industrial,Ingeniería Industrial,6,obligatorio,A
CUR341,Ingeniería de Costos,Ingeniería Industrial,6,optativo,A
CUR342,Calidad Total,Ingeniería Industrial,7,obligatorio,A
CUR343,Gestión de Mantenimiento,Ingeniería Industrial,7,optativo,A
CUR344,Lean Manufacturing,Ingeniería Industrial,7,optativo,A
CUR345,Logística Internacional,Ingeniería Industrial,8,obligatorio,A
CUR346,Análisis de Riesgo,Ingeniería Industrial,8,optativo,A
CUR347,Gestión de Mantenimiento,Ingeniería Industrial,8,optativo,A
CUR348,Logística Internacional,Ingeniería Industrial,9,obligatorio,A
CUR349,Industria 4.0,Ingeniería Industrial,9,optativo,A
CUR350,Análisis de Malware,Ingeniería en Sistemas,1,optativo,A
CUR351,Realidad Aumentada,Ingeniería en Sistemas,2,obligatorio,A
CUR352,Big Data,Ingeniería en Sistemas,3,optativo,A
CUR353,Criptografía,Ingeniería en Sistemas,4,obligatorio,A
CUR354,Cloud Computing,Ingeniería en Sistemas,5,optativo,A
CUR355,Minería de Datos,Ingeniería en Sistemas,6,obligatorio,A
CUR356,Cloud Computing,Ingeniería en Sistemas,7,optativo,A
CUR357,Diseño de Juegos,Ingeniería en Sistemas,8,obligatorio,A
CUR358,Análisis de Malware,Ingeniería en Sistemas,9,optativo,A
CUR359,Programación Competitiva,Ingeniería en Sistemas,10,optativo,A
CUR101,Termodinámica I,Ingeniería Mecánica,3,obligatorio,A
CUR102,Mecánica Clásica,Ingeniería Mecánica,2,obligatorio,A
CUR103,Materiales de Ingeniería,Ingeniería Mecánica,4,obligatorio,A
CUR104,Resistencia de Materiales,Ingeniería Mecánica,5,obligatorio,A
CUR105,Dinámica,Ingeniería Mecánica,5,obligatorio,A
CUR106,Mecánica de Fluidos,Ingeniería Mecánica,6,obligatorio,A
CUR107,Transferencia de Calor,Ingeniería Mecánica,6,obligatorio,A
CUR108,Máquinas Térmicas,Ingeniería Mecánica,7,obligatorio,A
CUR109,Diseño de Elementos de Máquina,Ingeniería Mecánica,8,obligatorio,A
CUR110,Automatización Industrial,Ingeniería Mecánica,9,obligatorio,A
CUR111,Control de Calidad,Ingeniería Mecánica,9,optativo,A
CUR112,Mecatrónica,Ingeniería Mecánica,10,optativo,A
CUR113,Ingeniería de Mantenimiento,Ingeniería Mecánica,10,optativo,A
CUR114,Robótica Industrial,Ingeniería Mecánica,10,obligatorio,A
CUR115,Ingeniería Acústica,Ingeniería Mecánica,8,optativo,A
CUR116,Análisis de Vibraciones,Ingeniería Mecánica,7,optativo,A
CUR117,Máquinas Eléctricas,Ingeniería Mecánica,6,obligatorio,A
CUR118,Laboratorio de Máquinas,Ingeniería Mecánica,7,obligatorio,A
CUR119,Diseño Asistido por Computadora (CAD),Ingeniería Mecánica,3,obligatorio,A
CUR120,Dibujo Técnico,Ingeniería Mecánica,2,obligatorio,A
CUR121,Procesos de Manufactura,Ingeniería Mecánica,5,obligatorio,A
CUR122,Instrumentación y Medición,Ingeniería Mecánica,4,obligatorio,A
CUR123,Gestión de Proyectos,Ingeniería Mecánica,9,optativo,A
CUR124,Sistemas Hidráulicos y Neumáticos,Ingeniería Mecánica,6,optativo,A
CUR125,Simulación de Sistemas Mecánicos,Ingeniería Mecánica,10,optativo,A
CUR126,Control Automático,Ingeniería Mecánica,8,obligatorio,A
CUR127,Taller de Proyectos,Ingeniería Mecánica,10,obligatorio,A
CUR128,Introducción a la Ingeniería Mecánica,Ingeniería Mecánica,1,obligatorio,A
CUR129,Computación Aplicada,Ingeniería Mecánica,1,obligatorio,A
CUR130,Química General,Ingeniería Mecánica,1,obligatorio,A
CUR131,Ética Profesional,Ingeniería Mecánica,1,obligatorio,A
CUR132,Matemática Aplicada,Ingeniería Mecánica,4,obligatorio,A
CUR133,Física Aplicada,Ingeniería Mecánica,3,obligatorio,A
CUR134,Sistemas Mecánicos,Ingeniería Mecánica,7,obligatorio,A
CUR135,Prácticas de Ingeniería Mecánica,Ingeniería Mecánica,10,obligatorio,A
CUR136,Normas y Reglamentos Técnicos,Ingeniería Mecánica,6,optativo,A
CUR137,Energías Renovables,Ingeniería Mecánica,9,obligatorio,A
CUR138,Motores de Combustión Interna,Ingeniería Mecánica,8,optativo,A
CUR139,Tribología,Ingeniería Mecánica,10,optativo,A
CUR140,Calidad Total,Ingeniería Mecánica,9,optativo,A
CUR001_MEC,Matemática Básica,Ingeniería Mecánica,1,obligatorio,A
CUR001_MEC,Matemática Básica,Ingeniería Mecánica,1,obligatorio,B
CUR001_MEC,Matemática Básica,Ingeniería Mecánica,1,obligatorio,C
CUR021_MEC,Matemática IV,Ingeniería Mecánica,6,obligatorio,A
CUR017_MEC,Investigación de Operaciones I,Ingeniería Mecánica,5,obligatorio,A
CUR002_MEC,Comunicación y Lenguaje,Ingeniería Mecánica,1,obligatorio,A
CUR010_MEC,Estadística II,Ingeniería Mecánica,3,obligatorio,A
CUR007_MEC,Programación I,Ingeniería Mecánica,2,obligatorio,A
CUR007_MEC,Programación I,Ingeniería Mecánica,2,obligatorio,B
CUR013_MEC,Matemática III,Ingeniería Mecánica,4,obligatorio,A
CUR005_MEC,Matemática I,Ingeniería Mecánica,2,obligatorio,A
CUR025_MEC,Investigación de Operaciones II,Ingeniería Mecánica,7,obligatorio,A
CUR020_MEC,Redes de Computadoras,Ingeniería Mecánica,5,obligatorio,A
