codigo,registro
CUR351,DOC044
CUR351,DOC022
CUR351,DOC049
CUR352,DOC029
CUR352,DOC018
CUR353,DOC038
CUR354,DOC019
CUR354,DOC036
CUR354,DOC011
CUR355,DOC016
CUR355,DOC001
CUR356,DOC004
CUR356,DOC014
CUR357,DOC037
CUR357,DOC050
CUR357,DOC017
CUR358,DOC030
CUR358,DOC036
CUR358,DOC004
CUR359,DOC002
CUR359,DOC025
CUR359,DOC050
CUR101,DOC010
CUR101,DOC017
CUR101,DOC026
CUR102,DOC016
CUR102,DOC050
CUR102,DOC011
CUR103,DOC042
CUR103,DOC012
CUR103,DOC027
CUR104,DOC010
CUR104,DOC043
CUR104,DOC050
CUR105,DOC050
CUR106,DOC039
CUR106,DOC036
CUR106,DOC038
CUR107,DOC048
CUR107,DOC010
CUR107,DOC036
CUR108,DOC023
CUR108,DOC014
CUR109,DOC050
CUR109,DOC047
CUR109,DOC034
CUR110,DOC027
CUR110,DOC009
CUR110,DOC028
CUR111,DOC045
CUR112,DOC037
CUR112,DOC012
CUR112,DOC019
CUR113,DOC034
CUR113,DOC016
CUR114,DOC034
CUR114,DOC010
CUR115,DOC047
CUR115,DOC019
CUR115,DOC013
CUR116,DOC031
CUR117,DOC016
CUR117,DOC045
CUR118,DOC041
CUR118,DOC005
CUR119,DOC040
CUR119,DOC011
CUR119,DOC005
CUR120,DOC041
CUR120,DOC009
CUR121,DOC013
CUR122,DOC043
CUR123,DOC016
CUR124,DOC014
CUR124,DOC006
CUR124,DOC047
CUR125,DOC019
CUR125,DOC032
CUR125,DOC026
CUR126,DOC026
CUR126,DOC010
CUR126,DOC025
CUR127,DOC036
CUR127,DOC039
CUR128,DOC041
CUR128,DOC021
CUR128,DOC010
CUR129,DOC050
CUR130,DOC005
CUR130,DOC045
CUR130,DOC042
CUR131,DOC042
CUR131,DOC007
CUR131,DOC020
CUR132,DOC019
CUR132,DOC024
CUR132,DOC004
CUR133,DOC046
CUR134,DOC048
CUR135,DOC002
CUR136,DOC045
CUR137,DOC022
CUR137,DOC020
CUR138,DOC049
CUR139,DOC017
CUR140,DOC004
CUR140,DOC045
CUR140,DOC036
CUR001_MEC,DOC007
CUR001_MEC,DOC047
CUR021_MEC,DOC044
CUR021_MEC,DOC037
CUR017_MEC,DOC020
CUR002_MEC,DOC050
CUR010_MEC,DOC006
CUR010_MEC,DOC021
CUR010_MEC,DOC027
CUR007_MEC,DOC050
CUR007_MEC,DOC017
CUR007_MEC,DOC046
CUR013_MEC,DOC041
CUR013_MEC,DOC049
CUR005_MEC,DOC030
CUR025_MEC,DOC042
CUR025_MEC,DOC011
CUR020_MEC,DOC028
CUR020_MEC,DOC043
